Year,Month_Num,Region,Model,Fuel_Type,Units_Sold,Revenue
2018,1,Europe,3 Series,Hybrid,755,47687735.21
2018,1,Europe,5 Series,ICE,1409,193879316.25
2018,1,Europe,7 Series,ICE,3400,155634838.79
2018,1,Europe,X3,ICE,4659,269599230.67
2018,1,Europe,X5,Hybrid,4844,419776391.32
2018,1,Europe,X7,ICE,6492,828828537.03
2018,1,Europe,i4,Hybrid,3067,183287240.46
2018,1,Europe,iX,Hybrid,1173,54101555.65
2018,1,Europe,i7,Hybrid,5060,202383812.74
2018,1,Europe,M3,ICE,1738,136487665.97
2018,1,Europe,M5,ICE,7575,1036464153.92
2018,1,Europe,Z4,ICE,2202,88674108.67
2018,1,Europe,2 Series,ICE,3287,438359375.13
2018,1,Europe,4 Series,EV,3372,364525713.8
2018,1,Europe,1 Series,ICE,3378,378572949.99
2018,1,North America,3 Series,Hybrid,6369,669063868.14
2018,1,North America,5 Series,ICE,5977,526931867.92
2018,1,North America,7 Series,ICE,6066,365511349.21
2018,1,North America,X3,ICE,7356,451220926.0
2018,1,North America,X5,ICE,2992,127494175.28
2018,1,North America,X7,EV,5727,407693425.68
2018,1,North America,i4,Hybrid,4172,454447470.28
2018,1,North America,iX,ICE,1518,151128035.18
2018,1,North America,i7,ICE,5174,528297925.67
2018,1,North America,M3,ICE,1637,74409151.39
2018,1,North America,M5,ICE,1252,66854208.61
2018,1,North America,Z4,Hybrid,4679,369108613.78
2018,1,North America,2 Series,EV,4473,441131634.88
2018,1,North America,4 Series,EV,6474,734130186.84
2018,1,North America,1 Series,ICE,2901,215022640.44
2018,1,China,3 Series,ICE,1770,256099232.05
2018,1,China,5 Series,EV,3033,371923605.22
2018,1,China,7 Series,ICE,1523,105576113.0
2018,1,China,X3,Hybrid,4992,389376464.5
2018,1,China,X5,ICE,7749,1089716700.13
2018,1,China,X7,ICE,3853,546533951.37
2018,1,China,i4,EV,7986,499420607.29
2018,1,China,iX,ICE,5837,261790307.97
2018,1,China,i7,ICE,1218,117246153.17
2018,1,China,M3,ICE,5860,575612641.66
2018,1,China,M5,ICE,7890,1151164682.77
2018,1,China,Z4,EV,7148,415530197.13
2018,1,China,2 Series,ICE,6271,535427447.02
2018,1,China,4 Series,ICE,1378,58376183.79
2018,1,China,1 Series,ICE,4629,279244421.35
2018,1,Asia Pacific,3 Series,ICE,4918,210249603.57
2018,1,Asia Pacific,5 Series,ICE,2793,174200898.54
2018,1,Asia Pacific,7 Series,Hybrid,2281,269581228.32
2018,1,Asia Pacific,X3,EV,5177,648322097.35
2018,1,Asia Pacific,X5,Hybrid,1808,200295693.28
2018,1,Asia Pacific,X7,ICE,3828,454933770.45
2018,1,Asia Pacific,i4,Hybrid,5095,414230874.72
2018,1,Asia Pacific,iX,ICE,6672,380523230.55
2018,1,Asia Pacific,i7,ICE,1609,107855600.84
2018,1,Asia Pacific,M3,ICE,1097,147058496.31
2018,1,Asia Pacific,M5,ICE,955,92795070.3
2018,1,Asia Pacific,Z4,ICE,1425,188955013.48
2018,1,Asia Pacific,2 Series,ICE,4452,598503708.74
2018,1,Asia Pacific,4 Series,EV,1780,263992720.32
2018,1,Asia Pacific,1 Series,ICE,7515,509544514.89
2018,1,Middle East & Africa,3 Series,Hybrid,7447,736607771.01
2018,1,Middle East & Africa,5 Series,Hybrid,1603,96237072.12
2018,1,Middle East & Africa,7 Series,ICE,6609,799802605.03
2018,1,Middle East & Africa,X3,ICE,5248,738548521.2
2018,1,Middle East & Africa,X5,ICE,1098,48545674.72
2018,1,Middle East & Africa,X7,ICE,4677,627228766.88
2018,1,Middle East & Africa,i4,ICE,7955,808034626.78
2018,1,Middle East & Africa,iX,ICE,1142,116623681.75
2018,1,Middle East & Africa,i7,ICE,2402,281903661.13
2018,1,Middle East & Africa,M3,ICE,3327,363416829.31
